,category_sk,category_l1_name_en,category_l2_name_en
0,olx|mea|za|16,Property,Unknown
1,olx|mea|za|16|301,Property,Rooms for rent & Shared
2,olx|mea|za|16|363,Property,Houses & Flats for rent
3,olx|mea|za|16|367,Property,Houses & Flats for sale
4,olx|mea|za|16|368,Property,"Offices, Shops & Commercial Space"
5,olx|mea|za|16|388,Property,Vacation Rentals
6,olx|mea|za|16|410,Property,Land
7,olx|mea|za|185,Hobbies & Interests,Unknown
8,olx|mea|za|185|211,Hobbies & Interests,"Toys, Games & Remote Control"
9,olx|mea|za|185|214,Hobbies & Interests,"Art, Collectibles & Rare Items"
10,olx|mea|za|185|243,Hobbies & Interests,Musical Instruments
11,olx|mea|za|185|820,Hobbies & Interests,"Books, CDs & DVDs"
12,olx|mea|za|185|911,Hobbies & Interests,Community Announcements
13,olx|mea|za|191,Services,Unknown
14,olx|mea|za|191|198,Services,Electronic Installations & Repairs
15,olx|mea|za|191|207,Services,Other Services
16,olx|mea|za|191|324,Services,Event Services
17,olx|mea|za|191|372,Services,"Babysitters, Domestic Help & Cleaning"
18,olx|mea|za|191|633,Services,Construction & Home Improvement
19,olx|mea|za|191|647,Services,Transport
20,olx|mea|za|362,Vehicles,Unknown
21,olx|mea|za|362|376,Vehicles,Boats & Aviation
22,olx|mea|za|362|377,Vehicles,Car Parts & Accessories
23,olx|mea|za|362|378,Vehicles,Cars & Bakkies
24,olx|mea|za|362|378|2002,Vehicles,Cars & Bakkies
25,olx|mea|za|362|378|2004,Vehicles,Cars & Bakkies
26,olx|mea|za|362|378|2005,Vehicles,Cars & Bakkies
27,olx|mea|za|362|378|2008,Vehicles,Cars & Bakkies
28,olx|mea|za|362|378|2009,Vehicles,Cars & Bakkies
29,olx|mea|za|362|378|2011,Vehicles,Cars & Bakkies
30,olx|mea|za|362|378|2012,Vehicles,Cars & Bakkies
31,olx|mea|za|362|378|2013,Vehicles,Cars & Bakkies
32,olx|mea|za|362|378|2014,Vehicles,Cars & Bakkies
33,olx|mea|za|362|378|2016,Vehicles,Cars & Bakkies
34,olx|mea|za|362|378|2017,Vehicles,Cars & Bakkies
35,olx|mea|za|362|378|2020,Vehicles,Cars & Bakkies
36,olx|mea|za|362|378|2023,Vehicles,Cars & Bakkies
37,olx|mea|za|362|378|2024,Vehicles,Cars & Bakkies
38,olx|mea|za|362|378|2025,Vehicles,Cars & Bakkies
39,olx|mea|za|362|378|2028,Vehicles,Cars & Bakkies
40,olx|mea|za|362|378|2029,Vehicles,Cars & Bakkies
41,olx|mea|za|362|378|2030,Vehicles,Cars & Bakkies
42,olx|mea|za|362|378|2031,Vehicles,Cars & Bakkies
43,olx|mea|za|362|378|2033,Vehicles,Cars & Bakkies
44,olx|mea|za|362|378|2034,Vehicles,Cars & Bakkies
45,olx|mea|za|362|378|2035,Vehicles,Cars & Bakkies
46,olx|mea|za|362|378|2036,Vehicles,Cars & Bakkies
47,olx|mea|za|362|378|2038,Vehicles,Cars & Bakkies
48,olx|mea|za|362|378|2039,Vehicles,Cars & Bakkies
49,olx|mea|za|362|378|2041,Vehicles,Cars & Bakkies
50,olx|mea|za|362|378|2042,Vehicles,Cars & Bakkies
51,olx|mea|za|362|378|2043,Vehicles,Cars & Bakkies
52,olx|mea|za|362|378|2044,Vehicles,Cars & Bakkies
53,olx|mea|za|362|378|2046,Vehicles,Cars & Bakkies
54,olx|mea|za|362|378|2047,Vehicles,Cars & Bakkies
55,olx|mea|za|362|378|2048,Vehicles,Cars & Bakkies
56,olx|mea|za|362|378|2050,Vehicles,Cars & Bakkies
57,olx|mea|za|362|378|2052,Vehicles,Cars & Bakkies
58,olx|mea|za|362|378|2054,Vehicles,Cars & Bakkies
59,olx|mea|za|362|378|2056,Vehicles,Cars & Bakkies
60,olx|mea|za|362|378|2057,Vehicles,Cars & Bakkies
61,olx|mea|za|362|378|2058,Vehicles,Cars & Bakkies
62,olx|mea|za|362|378|2059,Vehicles,Cars & Bakkies
63,olx|mea|za|362|378|2060,Vehicles,Cars & Bakkies
64,olx|mea|za|362|378|2065,Vehicles,Cars & Bakkies
65,olx|mea|za|362|378|2066,Vehicles,Cars & Bakkies
66,olx|mea|za|362|378|2067,Vehicles,Cars & Bakkies
67,olx|mea|za|362|378|2069,Vehicles,Cars & Bakkies
68,olx|mea|za|362|378|2070,Vehicles,Cars & Bakkies
69,olx|mea|za|362|378|2077,Vehicles,Cars & Bakkies
70,olx|mea|za|362|378|2079,Vehicles,Cars & Bakkies
71,olx|mea|za|362|378|2085,Vehicles,Cars & Bakkies
72,olx|mea|za|362|378|2088,Vehicles,Cars & Bakkies
73,olx|mea|za|362|378|2089,Vehicles,Cars & Bakkies
74,olx|mea|za|362|378|2093,Vehicles,Cars & Bakkies
75,olx|mea|za|362|378|2105,Vehicles,Cars & Bakkies
76,olx|mea|za|362|378|2106,Vehicles,Cars & Bakkies
77,olx|mea|za|362|378|2107,Vehicles,Cars & Bakkies
78,olx|mea|za|362|379,Vehicles,Motorcycles & Scooters
79,olx|mea|za|362|379|3001,Vehicles,Motorcycles & Scooters
80,olx|mea|za|362|379|3002,Vehicles,Motorcycles & Scooters
81,olx|mea|za|362|379|3003,Vehicles,Motorcycles & Scooters
82,olx|mea|za|362|379|3004,Vehicles,Motorcycles & Scooters
83,olx|mea|za|362|379|3005,Vehicles,Motorcycles & Scooters
84,olx|mea|za|362|379|3006,Vehicles,Motorcycles & Scooters
85,olx|mea|za|362|379|3007,Vehicles,Motorcycles & Scooters
86,olx|mea|za|362|379|3008,Vehicles,Motorcycles & Scooters
87,olx|mea|za|362|379|3009,Vehicles,Motorcycles & Scooters
88,olx|mea|za|362|379|3010,Vehicles,Motorcycles & Scooters
89,olx|mea|za|362|379|3011,Vehicles,Motorcycles & Scooters
90,olx|mea|za|362|379|3012,Vehicles,Motorcycles & Scooters
91,olx|mea|za|362|379|3013,Vehicles,Motorcycles & Scooters
92,olx|mea|za|362|379|3014,Vehicles,Motorcycles & Scooters
93,olx|mea|za|362|379|3015,Vehicles,Motorcycles & Scooters
94,olx|mea|za|362|379|3016,Vehicles,Motorcycles & Scooters
95,olx|mea|za|362|379|3017,Vehicles,Motorcycles & Scooters
96,olx|mea|za|362|379|3018,Vehicles,Motorcycles & Scooters
97,olx|mea|za|362|379|3019,Vehicles,Motorcycles & Scooters
98,olx|mea|za|362|379|3020,Vehicles,Motorcycles & Scooters
99,olx|mea|za|362|379|3021,Vehicles,Motorcycles & Scooters
100,olx|mea|za|362|379|3022,Vehicles,Motorcycles & Scooters
101,olx|mea|za|362|379|3023,Vehicles,Motorcycles & Scooters
102,olx|mea|za|362|379|3024,Vehicles,Motorcycles & Scooters
103,olx|mea|za|362|379|3025,Vehicles,Motorcycles & Scooters
104,olx|mea|za|362|379|3026,Vehicles,Motorcycles & Scooters
105,olx|mea|za|362|379|3027,Vehicles,Motorcycles & Scooters
106,olx|mea|za|362|379|3028,Vehicles,Motorcycles & Scooters
107,olx|mea|za|362|379|3029,Vehicles,Motorcycles & Scooters
