,date_live_nk,category_sk,listing_sk,user_sk_encrypted,replies,successful_replies,average_conversation_length,first_reply_date,last_reply_date
0,2017-08-20,olx|mea|za|362|417,olx|mea|za|1051037708,a2bb17989410115a52729fc921400edf,1.0,0.0,1.0,2017-09-16,2017-09-16
1,2017-08-23,olx|mea|za|800|801,olx|mea|za|1051089290,6f109b0a0a94eef04515fdfd78ea148f,1.0,0.0,1.0,2017-09-16,2017-09-16
2,2017-09-16,olx|mea|za|362|378,olx|mea|za|1051421401,764ace2c0ffe62cfe93b11229a78561c,7.0,2.0,1.0,2017-09-16,2017-09-18
3,2017-09-20,olx|mea|za|362|377,olx|mea|za|1051488775,a627d7738023c30f03cec99a3109136a,3.0,3.0,3.0,2017-09-21,2017-09-21
4,2017-07-12,olx|mea|za|806|808,olx|mea|za|1050498127,4750dc962239f8e4a617925056856d11,2.0,0.0,1.0,2017-09-14,2017-09-15
5,2017-08-17,olx|mea|za|362|377,olx|mea|za|1051002733,25b1d7b23e7dd03eff2420d456f19fd6,1.0,0.0,1.0,2017-09-15,2017-09-15
6,2017-07-04,olx|mea|za|806|807,olx|mea|za|1050333368,d31d6b52a46cc9a4a2b43a77c39baf13,1.0,0.0,2.0,2017-09-15,2017-09-15
7,2017-09-18,olx|mea|za|800|801,olx|mea|za|1051443437,7028558af771cf902352afc2ea8d6ad1,3.0,1.0,1.0,2017-09-18,2017-09-19
8,2017-09-06,olx|mea|za|362|378,olx|mea|za|1051266298,335f487b280a147a4272a93f705948f8,4.0,3.0,3.0,2017-09-14,2017-09-20
9,2017-09-20,olx|mea|za|800|802,olx|mea|za|1051484843,3bb6a6bfb85290509182553101c7df13,1.0,1.0,3.0,2017-09-20,2017-09-20
10,2017-07-11,olx|mea|za|362|379,olx|mea|za|1050477372,30e16fc02d2476499c7ae6b1284ab004,2.0,2.0,2.0,2017-09-18,2017-09-19
11,2017-09-01,olx|mea|za|362|379,olx|mea|za|1051205314,b88e1e02712aef0c7a010eac9abc2857,1.0,1.0,7.0,2017-09-18,2017-09-18
12,2017-09-15,olx|mea|za|362|378,olx|mea|za|1051408819,53d1e2887694bcf0b2e0a995afcdc008,3.0,3.0,5.0,2017-09-15,2017-09-16
13,2017-08-13,olx|mea|za|362|378,olx|mea|za|1050943344,38d6faa3ebd6f017c9115dc33518544b,2.0,1.0,2.0,2017-09-19,2017-09-21
14,2017-09-02,olx|mea|za|362|378,olx|mea|za|1051211904,6a596574ca60169069e93e6bf4114c6a,2.0,0.0,1.0,2017-09-20,2017-09-21
15,2017-09-11,olx|mea|za|800|801,olx|mea|za|1051338587,297e22cd1ccc13ebe5af16e47f704f41,1.0,1.0,2.0,2017-09-14,2017-09-14
16,2017-09-21,olx|mea|za|806|910,olx|mea|za|1051504103,6918584ee4814596a9fabd2a742965ba,1.0,1.0,9.0,2017-09-21,2017-09-21
17,2017-08-31,olx|mea|za|362|378,olx|mea|za|1051189161,0a0af213e3094c0dcaba8be483e9719d,1.0,0.0,1.0,2017-09-16,2017-09-16
18,2017-09-17,olx|mea|za|853|856,olx|mea|za|1051436481,2f4c7599e6b83e1b7cc2c2dfa7d2efc9,1.0,1.0,4.0,2017-09-21,2017-09-21
19,2017-09-19,olx|mea|za|362|378,olx|mea|za|1051474636,f6380e83fa15ea14dfe2cb4ace4f977d,2.0,1.0,3.0,2017-09-20,2017-09-20
20,2017-09-10,olx|mea|za|815|817,olx|mea|za|1051323343,a25e3a3ddccb52dd84fa0fb78ff972cb,1.0,0.0,1.0,2017-09-21,2017-09-21
21,2017-08-12,olx|mea|za|800|912,olx|mea|za|1050937919,8516ed43873f4592e9df520795eff91e,4.0,1.0,2.0,2017-09-14,2017-09-20
22,2017-09-05,olx|mea|za|362|377,olx|mea|za|1051256571,adf1729ea379f0c0284f96ae7a04f41b,2.0,0.0,1.0,2017-09-19,2017-09-19
23,2017-09-14,olx|mea|za|362|378,olx|mea|za|1051389846,d9e50a7a6867f3a8afbd99539df17c00,20.0,7.0,2.0,2017-09-14,2017-09-21
24,2017-09-06,olx|mea|za|800|801,olx|mea|za|1051259659,ebcd4bb1377e71d04beec37ec1d9d0be,1.0,0.0,1.0,2017-09-20,2017-09-20
25,2017-09-19,olx|mea|za|362|378,olx|mea|za|1051463927,c6333298dbbd8de5639cb1abba9dcbaa,3.0,3.0,7.0,2017-09-19,2017-09-20
26,2017-09-19,olx|mea|za|806|808,olx|mea|za|1051459868,33ffc7e1e4673f8b4339f5ca0cfe2958,1.0,0.0,1.0,2017-09-20,2017-09-20
27,2017-09-17,olx|mea|za|362|379,olx|mea|za|1051437571,34c9aad43e1fcba7cbb328d22795a6a0,2.0,0.0,1.0,2017-09-18,2017-09-20
28,2017-09-15,olx|mea|za|362|378,olx|mea|za|1051420565,1cb8ee4a04c817a5a74f5b13dae967a0,1.0,1.0,4.0,2017-09-16,2017-09-16
29,2017-07-24,olx|mea|za|800|801,olx|mea|za|1050674476,c23259e02181f3d2b14fec6e3a399144,1.0,0.0,1.0,2017-09-15,2017-09-15
30,2017-09-11,olx|mea|za|806|807,olx|mea|za|1051331093,e35b05272937ec7c6e2a57794114005c,2.0,2.0,2.0,2017-09-14,2017-09-19
31,2017-09-18,olx|mea|za|362|378,olx|mea|za|1051446593,d0e726a00dc34aaecef30334240207db,4.0,4.0,2.0,2017-09-18,2017-09-18
